"","ID","entry","exit","articles"
"1","trans1",2016-05-02 22:39:52,2016-05-02 22:49:08,"{item1,item9,item63}"
"2","trans2",2016-05-02 17:38:55,2016-05-02 17:53:29,"{item1,item2,item3}"
"3","trans3",2016-05-01 06:57:57,2016-05-01 07:00:44,"{item9,item43,item57}"
"4","trans4",2016-05-01 09:10:07,2016-05-01 09:15:16,"{item2,item14,item72}"
"5","trans5",2016-05-01 00:28:29,2016-05-01 01:01:16,"{item11}"
"6","trans6",2016-04-30 02:18:59,2016-04-30 02:24:49,"{item6,item53}"
"7","trans7",2016-05-01 06:07:02,2016-05-01 06:18:28,"{item1,item7,item11,item54}"
"8","trans8",2016-04-30 20:00:05,2016-04-30 20:01:20,"{item1,item69}"
"9","trans9",2016-04-30 18:13:56,2016-04-30 18:37:30,"{item4,item41,item54}"
"10","trans10",2016-04-30 17:40:49,2016-04-30 18:01:38,"{item5,item6}"
"11","trans11",2016-05-01 21:09:53,2016-05-01 21:18:52,"{item2,item3,item4,item10}"
"12","trans12",2016-05-03 12:07:05,2016-05-03 12:16:05,"{item3,item5,item42}"
"13","trans13",2016-05-01 10:06:46,2016-05-01 10:40:13,"{item1,item16,item27,item38}"
"14","trans14",2016-04-29 22:45:24,2016-04-29 22:53:40,"{item4,item8,item9,item48}"
"15","trans15",2016-05-01 09:07:51,2016-05-01 09:19:45,"{item1,item11,item75}"
"16","trans16",2016-04-30 10:17:43,2016-04-30 11:01:46,"{item8,item33}"
"17","trans17",2016-05-01 11:06:27,2016-05-01 11:33:18,"{item4,item78}"
"18","trans18",2016-04-30 18:06:20,2016-04-30 18:51:38,"{item1,item5,item72}"
"19","trans19",2016-04-30 11:53:50,2016-04-30 12:09:47,"{item2,item21}"
"20","trans20",2016-05-01 18:42:18,2016-05-01 19:04:32,"{item6,item7}"
"80","trans80",2016-04-28 10:45:35,2016-04-28 10:46:52,"{item1,item4,item6,item7,item11,item42}"
